,LM number,Bone words,Region words,Data point,By Bone 14,By Bone (joining exoccipital+prootic) 12,By Region 19,Functional regions 6,Caecilian modules (FP in Fr) 9,Caecilian modules (FP in Pa) 10,Variably vs always present,Ossification sequence rank,"Simon+Marroig 2017 Functional 1 (NA: R, FP: R)","Simon+Marroig 2017 Functional 2 (NA: R, FP: N)","Simon+Marroig 2017 Functional 3 (NA: R, FP: Su)","Simon+Marroig 2017 Functional 4 (NA: Sn, FP: R)","Simon+Marroig 2017 Functional 5 (NA: Sn, FP: N)","Simon+Marroig 2017 Functional 6 (NA: Sn, FP: Su)","Pierkarski 1 (PS_sph: M, FP: H)","Pierkarski 2 (PS_sph: M, FP: M)","Pierkarski 3 (PS_sph: M, FP: B)","Pierkarski 4 (PS_sph: H, FP: H)","Pierkarski 5 (PS_sph: H, FP: M)","Pierkarski 6 (PS_sph: H, FP: B)","Vidal-Garcia 1. Snout: tip of the snout and the olfactory area (premaxilla, maxilla, and nasal),(I included Neo and Vo in snout too) 2: rest. ","Vidal-Garica 2: 1. dorsal, 2. ventral","Vidal-Garica 3: 1. snout, 2. rest, 3. squamosal","Vidal-Garcia 4: 1. snout, 2. posterior 3. medial","Vidal-Garcia 5: 1. snout, 2. rest, 3. brain region (dorsal sphenethemoid, exoccipital, frontoparietal)"
C17,136,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C17,137,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C17,138,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C17,139,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C17,140,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C18,141,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C18,142,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C18,143,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C18,144,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C18,145,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,146,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,147,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,148,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,149,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,150,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,151,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,152,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C19,153,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 8,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,154,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,155,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,156,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,157,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,158,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,159,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,160,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,161,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,162,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C20,163,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 10,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C21,164,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C21,165,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C21,166,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C21,167,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C21,168,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C22,169,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,170,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,171,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,172,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,173,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,174,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,175,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,176,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,177,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,178,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,179,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,180,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,181,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,182,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C22,183,Maxilla,Maxilla(v),"Max (V): Posteriorly along margin of palatal shelf, excluding tooth shelf: 15",2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,184,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,185,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,186,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,187,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,188,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,189,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,190,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,191,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,192,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,193,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,194,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,195,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,196,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,197,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C23,198,Maxilla,Maxilla(v),Max (V): Anteriorly along margin of palatal shelf: 15,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C24,199,Maxilla,Maxilla(v),Max (V): Laterally along margin: 5,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C24,200,Maxilla,Maxilla(v),Max (V): Laterally along margin: 5,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C24,201,Maxilla,Maxilla(v),Max (V): Laterally along margin: 5,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C24,202,Maxilla,Maxilla(v),Max (V): Laterally along margin: 5,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C24,203,Maxilla,Maxilla(v),Max (V): Laterally along margin: 5,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C25,204,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,205,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,206,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,207,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,208,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,209,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,210,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,211,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,212,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C25,213,Squamosal,Squamosal,Sq: Tracing medial margin of dorsal surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,214,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,215,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,216,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,217,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,218,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,219,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,220,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,221,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,222,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C26,223,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,224,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,225,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,226,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,227,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,228,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,229,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,230,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,231,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,232,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C27,233,Squamosal,Squamosal,Sq: Following margin of lateral bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C28,234,Squamosal,Squamosal,Sq: Following bone margin: 5,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C28,235,Squamosal,Squamosal,Sq: Following bone margin: 5,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C28,236,Squamosal,Squamosal,Sq: Following bone margin: 5,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C28,237,Squamosal,Squamosal,Sq: Following bone margin: 5,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C28,238,Squamosal,Squamosal,Sq: Following bone margin: 5,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,239,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,240,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,241,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,242,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,243,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,244,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,245,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C29,246,Squamosal,Squamosal,Sq: Following medial extreme of the lateral bone surface in posterior view: 8,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,247,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,248,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,249,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,250,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,251,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,252,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,253,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,254,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,255,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C30,256,Squamosal,Squamosal,Sq: Tracing bone margin to capture dorsal bone surface: 10,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
C31,257,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C31,258,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C31,259,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C31,260,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C31,261,Frontoparietal,Frontoparietal,FP: Anteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,262,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,263,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,264,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,265,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,266,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,267,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,268,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,269,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,270,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,271,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,272,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,273,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,274,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,275,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C32,276,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 15,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C33,277,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C33,278,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C33,279,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C33,280,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
C33,281,Frontoparietal,Frontoparietal,FP: Posteriorly along margin: 5,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
